"","project","park","site","Year","Species","No","No.se","No.LCI","No.UCI","p","p.se","p.LCI","p.UCI"
"1","NCRN","GWMP","MICR","2022","Anguilla rostrata",3,0,3,3,1,0,1,1
"4","NCRN","GWMP","MICR","2009","Rhinichthys atratulus",291.88,5.3,281.49,302.26,0.8,0.03,0.74,0.86
"5","NCRN","GWMP","MICR","2022","Rhinichthys atratulus",138.29,57.93,24.74,251.83,0.32,0.16,0,0.63
"6","NCRN","GWMP","TURU","2004","Anguilla rostrata",2,0,2,2,1,0,1,1
"7","NCRN","GWMP","TURU","2012","Anguilla rostrata",5,0,5,5,1,0,1,1
"8","NCRN","GWMP","TURU","2022","Anguilla rostrata",9,0,9,9,1,0,1,1
"9","NCRN","GWMP","TURU","2022","Cambarus bartonii",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"11","NCRN","GWMP","TURU","2004","Catostomus commersonnii",44.1,13.07,18.49,69.71,0.48,0.19,0.09,0.86
"12","NCRN","GWMP","TURU","2012","Catostomus commersonnii",1,0,1,1,1,0,1,1
"13","NCRN","GWMP","TURU","2012","Clinostomus funduloides",2,0,2,2,1,0,1,1
"14","NCRN","GWMP","TURU","2022","Clinostomus funduloides",1,0,1,1,1,0,1,1
"15","NCRN","GWMP","TURU","2012","Etheostoma flabellare",2,0,2,2,1,0,1,1
"17","NCRN","GWMP","TURU","2012","Lepomis cyanellus",12.25,4.15,4.12,20.38,0.57,0.3,-0.01,1.15
"18","NCRN","GWMP","TURU","2012","Lepomis gibbosus",1,0,1,1,1,0,1,1
"19","NCRN","GWMP","TURU","2004","Rhinichthys atratulus",102.26,2.63,97.1,107.42,0.82,0.05,0.72,0.92
"20","NCRN","GWMP","TURU","2012","Rhinichthys atratulus",292.27,5.75,281,303.53,0.79,0.03,0.72,0.85
"21","NCRN","GWMP","TURU","2022","Rhinichthys atratulus",108.64,39.8,30.64,186.64,0.36,0.16,0.04,0.68
"22","NCRN","GWMP","TURU","2004","Rhinichthys cataractae",1,0,1,1,1,0,1,1
"23","NCRN","GWMP","TURU","2012","Rhinichthys cataractae",10.12,0.44,9.25,11,0.89,0.12,0.66,1.12
"24","NCRN","GWMP","TURU","2022","Rhinichthys cataractae",26.27,4.04,18.35,34.2,0.65,0.17,0.32,0.98
"25","NCRN","GWMP","TURU","2004","Semotilus atromaculatus",50,7.2,35.89,64.11,0.6,0.14,0.33,0.87
"26","NCRN","GWMP","TURU","2012","Semotilus atromaculatus",18,0,18,18,1,0,1,1
"27","NCRN","GWMP","TURU","2022","Semotilus atromaculatus",12.8,3.18,6.56,19.04,0.62,0.25,0.13,1.12
"28","NCRN","GWMP","TURU","2012","Semotilus corporalis",1,0,1,1,1,0,1,1
"29","NCRN","GWMP","PIRU","2004","Anguilla rostrata",95.41,8.04,79.66,111.16,0.64,0.09,0.46,0.82
"30","NCRN","GWMP","PIRU","2006","Anguilla rostrata",23.05,0.24,22.58,23.52,0.95,0.05,0.86,1.05
