"","samplingYear","SubjectTaxonomicName","TotalCount","site","Park"
"1","2009","Rhinichthys atratulus",280,"MICR","GWMP"
"2","2022","Anguilla rostrata",3,"MICR","GWMP"
"3","2022","Eurycea bislineata",5,"MICR","GWMP"
"4","2022","Rana sp.",9,"MICR","GWMP"
"5","2022","Rhinichthys atratulus",74,"MICR","GWMP"
"6","2004","Anguilla rostrata",2,"TURU","GWMP"
"7","2004","Catostomus commersonnii",32,"TURU","GWMP"
"8","2004","Rhinichthys atratulus",99,"TURU","GWMP"
"9","2004","Rhinichthys cataractae",1,"TURU","GWMP"
"10","2004","Semotilus atromaculatus",42,"TURU","GWMP"
"11","2012","Anguilla rostrata",5,"TURU","GWMP"
"12","2012","Catostomus commersonnii",1,"TURU","GWMP"
"13","2012","Clinostomus funduloides",2,"TURU","GWMP"
"14","2012","Etheostoma flabellare",2,"TURU","GWMP"
"15","2012","Lepomis cyanellus",10,"TURU","GWMP"
"16","2012","Lepomis gibbosus",1,"TURU","GWMP"
"17","2012","Rhinichthys atratulus",279,"TURU","GWMP"
"18","2012","Rhinichthys cataractae",10,"TURU","GWMP"
"19","2012","Semotilus atromaculatus",18,"TURU","GWMP"
"20","2012","Semotilus corporalis",1,"TURU","GWMP"
"21","2022","Anguilla rostrata",9,"TURU","GWMP"
"22","2022","Cambarus bartonii",5,"TURU","GWMP"
"23","2022","Campostoma anomalum",2,"TURU","GWMP"
"24","2022","Clinostomus funduloides",1,"TURU","GWMP"
"25","2022","Eurycea bislineata",10,"TURU","GWMP"
"26","2022","Rhinichthys atratulus",64,"TURU","GWMP"
"27","2022","Rhinichthys cataractae",23,"TURU","GWMP"
"28","2022","Semotilus atromaculatus",11,"TURU","GWMP"
"29","2004","Anguilla rostrata",83,"PIRU","GWMP"
"30","2004","Catostomus commersonnii",143,"PIRU","GWMP"
"31","2004","Clinostomus funduloides",53,"PIRU","GWMP"
"32","2004","Lepomis auritus",4,"PIRU","GWMP"
"33","2004","Rhinichthys atratulus",686,"PIRU","GWMP"
"34","2004","Rhinichthys cataractae",369,"PIRU","GWMP"
"35","2004","Semotilus atromaculatus",109,"PIRU","GWMP"
"36","2006","Anguilla rostrata",23,"PIRU","GWMP"
"37","2006","Catostomus commersonnii",1,"PIRU","GWMP"
"38","2006","Lepomis auritus",2,"PIRU","GWMP"
"39","2006","Rhinichthys atratulus",45,"PIRU","GWMP"
"40","2006","Rhinichthys cataractae",27,"PIRU","GWMP"
"41","2006","Semotilus atromaculatus",5,"PIRU","GWMP"
"42","2012","Anguilla rostrata",26,"PIRU","GWMP"
"43","2012","Catostomus commersonnii",7,"PIRU","GWMP"
"44","2012","Lepomis auritus",13,"PIRU","GWMP"
"45","2012","Rhinichthys atratulus",78,"PIRU","GWMP"
"46","2012","Rhinichthys cataractae",38,"PIRU","GWMP"
"47","2012","Semotilus atromaculatus",20,"PIRU","GWMP"
"48","2022","Anguilla rostrata",29,"PIRU","GWMP"
