"","samplingYear","SpeciesRichness","ShannonIndex","SimpsonIndex","site","Park"
"1","2009",1,0,"MICR","NCRN_GWMP_MICR","GWMP"
"2","2022",4,0.67,"MICR","NCRN_GWMP_MICR","GWMP"
"3","2004",5,1.06,"TURU","NCRN_GWMP_TURU","GWMP"
"4","2012",10,0.69,"TURU","NCRN_GWMP_TURU","GWMP"
"5","2022",8,1.49,"TURU","NCRN_GWMP_TURU","GWMP"
"6","2004",7,1.43,"PIRU","NCRN_GWMP_PIRU","GWMP"
"7","2006",6,1.32,"PIRU","NCRN_GWMP_PIRU","GWMP"
"8","2012",6,1.52,"PIRU","NCRN_GWMP_PIRU","GWMP"
"9","2022",5,1.15,"PIRU","NCRN_GWMP_PIRU","GWMP"
"10","2004",16,2.2,"MIRU","NCRN_GWMP_MIRU","GWMP"
"11","2012",20,2.47,"MIRU","NCRN_GWMP_MIRU","GWMP"
"12","2022",17,2.48,"MIRU","NCRN_GWMP_MIRU","GWMP"
"13","2004",9,0.92,"FLSP","NCRN_HAFE_FLSP","HAFE"
"14","2013",5,0.71,"FLSP","NCRN_HAFE_FLSP","HAFE"
"15","2022",10,1.45,"FLSP","NCRN_HAFE_FLSP","HAFE"
"16","2022",7,1.02,"BLBZ","NCRN_CATO_BLBZ","CATO"
"17","2010",5,0.95,"OWCK","NCRN_CATO_OWCK","CATO"
"18","2022",10,1.35,"OWCK","NCRN_CATO_OWCK","CATO"
"19","2006",3,0.96,"BGHC","NCRN_CATO_BGHC","CATO"
"20","2010",7,1.41,"BGHC","NCRN_CATO_BGHC","CATO"
"21","2022",10,1.43,"BGHC","NCRN_CATO_BGHC","CATO"
"22","2004",9,1.75,"MBCH","NCRN_PRWI_MBCH","PRWI"
"23","2011",11,2.14,"MBCH","NCRN_PRWI_MBCH","PRWI"
"24","2011",8,1.77,"NFQC","NCRN_PRWI_NFQC","PRWI"
"25","2021",10,1.84,"NFQC","NCRN_PRWI_NFQC","PRWI"
"26","2021",10,1.72,"SFQC","NCRN_PRWI_SFQC","PRWI"
"27","2011",9,1.43,"MBBR","NCRN_PRWI_MBBR","PRWI"
"28","2021",10,1.91,"MBBR","NCRN_PRWI_MBBR","PRWI"
"29","2021",11,2.3,"SORU","NCRN_PRWI_SORU","PRWI"
"30","2004",19,2.31,"BUCK","NCRN_MONO_BUCK","MONO"
"31","2010",27,2.4,"BUCK","NCRN_MONO_BUCK","MONO"
"32","2022",25,2.53,"BUCK","NCRN_MONO_BUCK","MONO"
"33","2004",16,1.75,"GAMI","NCRN_MONO_GAMI","MONO"
"34","2010",7,0.75,"GAMI","NCRN_MONO_GAMI","MONO"
"35","2019",2,0.69,"GAMI","NCRN_MONO_GAMI","MONO"
"36","2022",17,1.9,"GAMI","NCRN_MONO_GAMI","MONO"
"37","2008",11,1.2,"FEBR","NCRN_ROCR_FEBR","ROCR"
"38","2019",13,1.76,"FEBR","NCRN_ROCR_FEBR","ROCR"
"39","2008",4,0.14,"BRBR","NCRN_ROCR_BRBR","ROCR"
"40","2019",4,0.55,"BRBR","NCRN_ROCR_BRBR","ROCR"
"41","2004",16,2.08,"YOBR","NCRN_MANA_YOBR","MANA"
"42","2010",16,2.4,"YOBR","NCRN_MANA_YOBR","MANA"
"43","2022",26,2.52,"YOBR","NCRN_MANA_YOBR","MANA"
"44","2004",4,0.65,"CHBR","NCRN_MANA_CHBR","MANA"
"45","2004",9,0.5,"HARU","NCRN_MONO_HARU","MONO"
"46","2004",7,1.38,"NOBR","NCRN_PRWI_NOBR","PRWI"
"47","2006",10,1.95,"NOBR","NCRN_PRWI_NOBR","PRWI"
"48","2011",11,2.12,"NOBR","NCRN_PRWI_NOBR","PRWI"
"49","2008",4,0.35,"PHBR","NCRN_ROCR_PHBR","ROCR"
"50","2019",6,1.18,"PHBR","NCRN_ROCR_PHBR","ROCR"
