Park,site,year,Alosa pseudoharengus,Ambloplites rupestris,Ameiurus natalis,Ameiurus nebulosus,Anguilla rostrata,Cambarus bartonii,Campostoma anomalum,Carassius auratus,Catostomus commersonii,Catostomus commersonnii,Clinostomus funduloides,Cottus caeruleomentum,Cottus cognatus,Cottus girardi,Cottus spp.,Crayfish,Cyprinella analostana,Cyprinella spiloptera,Desmognathus fuscus,Erimyzon oblongus,Esox niger,Etheostoma blennioides,Etheostoma caeruleum,Etheostoma flabellare,Etheostoma olmstedi,Eurycea bislineata,Exoglossum maxillingua,Faxonius limosus,Faxonius sp.,Faxonius virilis,Fundulus diaphanus,Fundulus heteroclitus,Gambusia affinis,Gambusia holbrooki,Hybognathus regius,Hypentelium nigricans,Ictalurus punctatus,Lampetra aepyptera,Lampetra appendix,Lepomis auritus,Lepomis cyanellus,Lepomis gibbosus,Lepomis hybrid,Lepomis macrochirus,Lepomis megalotis,Lithobates catesbeianus,Lithobates sp.,Luxilus cornutus,Margariscus margarita,Menidia/membras sp.,Micropterus dolomieu,Micropterus salmoides,Moxostoma erythrurum,Nocomis leptocephalus,Nocomis micropogon,Notemigonus crysoleucas,Notropis buccatus,Notropis hudsonius,Notropis procne,Notropis rubellus,Noturus insignis,Oncorhynchus mykiss,Percina peltata,Petromyzon marinus,Pimephales notatus,Procambarus clarkii,Pseudotriton ruber,Rana clamitans,Rana sp.,Rhinichthys atratulus,Rhinichthys cataractae,Salamander,Salmo trutta,Salvelinus fontinalis,Semotilus atromaculatus,Semotilus corporalis,Umbra pygmaea
ANTI,SHCK,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0
ANTI,SHCK,2006,0,0,0,0,0,0,0,0,0,3,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0
ANTI,SHCK,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
ANTI,SHCK,2022,0,0,0,0,0,17,1,0,0,0,0,0,393,0,0,2,0,0,3,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,23,0,0,6,0,0,0,0
CATO,BGHC,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,42,11,0,0,0
CATO,BGHC,2010,0,0,0,0,2,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,68,63,0,0,20,0,0,0
CATO,BGHC,2022,0,0,0,0,0,25,0,0,2,0,0,196,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,138,31,0,23,0,0,0,0
CATO,BLBZ,2022,0,0,0,0,0,27,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,190,0,3,4,0,0,0,0
CATO,OWCK,2010,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,13,0,0,17,0,0,0
CATO,OWCK,2022,0,0,0,0,0,84,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,43,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,474,5,0,0,46,15,0,0
CHOH,CABR,2004,0,0,5,0,0,0,6,0,0,8,0,0,0,0,0,0,0,135,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,57,0,0,0,0,1,0,0,0,0,15,0,0
CHOH,GRSR,2004,0,0,0,0,0,0,2,0,0,1,0,2,0,157,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0
CHOH,ISCR,2004,0,0,0,0,0,0,11,0,0,2,1,0,0,0,0,0,0,2,0,0,0,5,5,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,87,0,0,0,0,0,0
CHOH,MUBR,2004,0,0,5,0,1,0,120,0,0,28,0,17,0,88,0,0,0,1,0,0,0,18,0,111,12,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,4,0,0,29,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,0,87,0,0,0,0,44,77,0,0,0,1,0,0
CHOH,SVSR,2004,0,0,1,0,0,0,171,0,0,37,0,296,0,97,0,0,0,3,0,0,0,21,121,115,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,47,0,0,1,0,13,0,1,0,0,0,0,0,3,0,0,0,205,0,0,0,0,251,68,0,0,0,10,18,0
GWMP,MICR,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0
