"","samplingYear","CharacteristicName","AnnualMedian","AnnualMean","AnnualCount","AnnualSD","Annuallower_ci","Annualupper_ci","site","Park"
"1","2005","Salinity",0.34,0.72,4,0.79,-0.53,1.97,"MICR","GWMP"
"2","2005","Specific conductance",684.5,1412,4,1478.1,-939.98,3763.98,"MICR","GWMP"
"3","2005","Temperature, water",14.7,13.5,4,7.01,2.34,24.66,"MICR","GWMP"
"4","2006","Salinity",0.3,0.31,19,0.14,0.25,0.38,"MICR","GWMP"
"5","2006","Specific conductance",678,630.24,19,291.63,489.68,770.8,"MICR","GWMP"
"6","2006","Temperature, water",15.7,15.02,19,6.7,11.79,18.25,"MICR","GWMP"
"7","2007","Salinity",0.34,0.34,13,NA,NA,NA,"MICR","GWMP"
"8","2007","Specific conductance",701.5,708.3,8,188.23,550.94,865.66,"MICR","GWMP"
"9","2007","Temperature, water",16.25,13.97,8,6.24,8.76,19.19,"MICR","GWMP"
"10","2008","Salinity",0.41,0.64,7,0.57,0.12,1.16,"MICR","GWMP"
"11","2008","Specific conductance",834,1265.29,7,1065.91,279.48,2251.09,"MICR","GWMP"
"12","2008","Temperature, water",10.1,10.79,7,7.32,4.02,17.56,"MICR","GWMP"
"13","2009","Salinity",0.35,0.46,10,0.34,0.21,0.71,"MICR","GWMP"
"14","2009","Specific conductance",717,949.33,9,712.85,401.39,1497.28,"MICR","GWMP"
"15","2009","Temperature, water",18.8,15.13,9,7.02,9.73,20.53,"MICR","GWMP"
"16","2010","Salinity",0.38,0.4,11,0.1,0.33,0.46,"MICR","GWMP"
"17","2010","Specific conductance",795.7,811.84,11,186.8,686.35,937.33,"MICR","GWMP"
"18","2010","Temperature, water",17.6,14.4,11,7.51,9.36,19.44,"MICR","GWMP"
"19","2011","Salinity",0.4,0.36,11,0.11,0.28,0.43,"MICR","GWMP"
"20","2011","Specific conductance",815,729.78,11,221.09,581.25,878.31,"MICR","GWMP"
"21","2011","Temperature, water",15.2,15.37,11,7.04,10.65,20.1,"MICR","GWMP"
"22","2012","Salinity",0.36,0.36,11,0.21,0.22,0.5,"MICR","GWMP"
"23","2012","Specific conductance",737,729.39,11,399.84,460.78,998.01,"MICR","GWMP"
"24","2012","Temperature, water",12.6,13.46,11,5.71,9.63,17.3,"MICR","GWMP"
"25","2013","Salinity",0.31,0.31,11,0.09,0.26,0.37,"MICR","GWMP"
"26","2013","Specific conductance",640,637.51,11,171.83,522.07,752.95,"MICR","GWMP"
"27","2013","Temperature, water",14.3,13.84,11,7.23,8.98,18.7,"MICR","GWMP"
"28","2014","Salinity",0.36,0.36,3,0.02,0.33,0.4,"MICR","GWMP"
"29","2014","Specific conductance",732.15,674.42,4,137.76,455.23,893.62,"MICR","GWMP"
"30","2014","Temperature, water",10.1,12.77,3,8.33,-7.92,33.45,"MICR","GWMP"
"31","2015","Salinity",0.44,0.48,4,0.08,0.35,0.6,"MICR","GWMP"
"32","2015","Specific conductance",900,964,4,155.89,715.95,1212.05,"MICR","GWMP"
"33","2015","Temperature, water",10,11.15,4,7.26,-0.41,22.71,"MICR","GWMP"
"34","2016","Salinity",0.41,0.4,6,0.02,0.38,0.42,"MICR","GWMP"
"35","2016","Specific conductance",833.5,820.35,6,35.15,783.46,857.24,"MICR","GWMP"
